words,links,capital_words,spam_word_count,is_spam
64,1,2,2,0
192,2,30,7,1
127,5,23,10,1
390,2,3,6,0
719,4,5,5,1
260,3,2,1,0
440,1,3,2,0
402,1,1,1,0
810,7,8,9,1
46,1,5,1,0
520,3,24,0,1
419,1,2,0,0
166,0,9,0,0
300,1,3,0,0
953,10,29,7,1
273,0,1,2,0
40,2,1,1,0
250,2,3,6,0
947,8,23,4,1
593,4,20,3,1
994,8,16,0,1
218,4,3,1,0
758,10,26,0,1
143,0,5,8,1
148,3,5,1,0
250,10,29,5,1
573,2,27,5,1
261,1,2,2,0
161,9,17,9,1
912,9,5,9,1
911,3,17,4,1
545,7,19,3,1
988,3,14,4,1
511,3,26,5,1
91,5,4,4,1
108,0,1,6,0
399,0,3,2,0
478,0,9,9,1
216,1,1,2,0
975,8,20,5,1
364,1,1,1,0
277,1,6,4,1
274,0,1,1,0
43,0,0,0,0
89,10,28,4,1
269,3,0,1,0
212,2,0,0,0
515,7,29,2,1
142,1,21,0,1
361,9,25,9,1
110,0,3,1,0
57,7,5,1,1
58,2,2,6,0
351,10,7,4,1
169,2,3,3,0
164,1,1,0,0
67,1,0,4,0
638,2,25,1,1
93,1,5,1,0
272,2,3,0,0
268,0,2,1,0
894,4,11,2,1
172,0,0,6,0
215,2,1,1,0
237,3,1,0,0
204,2,1,2,0
146,1,3,2,0
61,1,2,1,0
288,3,1,1,0
743,7,19,5,1
156,2,2,1,0
270,2,1,1,0
111,1,3,1,0
500,4,18,3,1
296,2,1,2,0
755,10,26,5,1
319,1,3,2,0
159,1,1,1,0
74,2,3,0,0
720,7,8,10,1
377,1,11,0,1
923,4,22,6,1
161,3,26,8,1
210,4,0,1,0
583,2,10,6,1
220,2,2,1,0
49,0,8,1,0
308,3,19,3,1
73,4,3,0,0
147,4,2,4,1
239,4,5,2,1
273,2,3,1,0
38,1,3,2,0
281,2,1,1,0
167,0,9,1,0
430,8,18,6,1
606,2,21,0,1
289,1,2,0,0
890,10,28,8,1
100,2,1,2,0
176,0,3,0,0
415,3,19,9,1
204,2,3,0,0
28,1,2,2,0
637,4,7,9,1
236,1,10,2,0
959,3,28,4,1
275,10,28,3,1
188,0,0,1,0
105,7,21,3,1
181,2,2,0,0
880,8,24,10,1
835,8,6,8,1
837,5,2,6,1
200,1,0,0,0
127,0,0,2,0
257,1,1,2,0
574,9,1,5,1
957,1,9,2,1
304,0,4,1,0
392,7,10,2,1
162,5,5,9,1
298,3,1,2,0
423,10,5,6,1
779,3,23,8,1
167,2,13,1,1
64,9,21,5,1
268,2,1,1,0
43,0,1,1,0
727,8,11,8,1
62,10,1,9,1
184,2,0,2,0
153,0,3,1,0
202,0,3,2,0
166,0,22,7,1
112,3,13,7,1
156,1,9,1,0
66,1,10,2,0
247,2,4,1,0
85,8,4,9,1
132,5,3,1,0
177,4,22,2,1
32,2,3,2,0
88,2,18,8,1
215,2,0,1,0
393,10,5,4,1
995,2,16,7,1
547,1,14,3,1
196,7,19,1,1
205,2,1,2,0
584,9,12,1,1
245,0,1,2,0
304,1,6,2,0
626,7,4,4,1
121,0,17,4,1
324,1,10,3,1
168,4,2,1,0
126,4,1,7,1
103,1,3,2,0
192,3,9,9,1
568,8,20,0,1
197,9,6,3,1
243,1,5,2,0
882,1,18,9,1
808,5,4,4,1
118,3,23,1,1
344,0,3,1,0
185,0,2,2,0
168,2,1,4,0
213,1,3,0,0
96,2,0,0,0
944,7,0,4,1
83,10,23,10,1
46,1,0,2,0
148,2,0,1,0
84,2,1,2,0
208,0,0,0,0
186,0,4,0,0
577,4,27,9,1
51,2,1,0,0
151,3,11,4,1
213,2,9,1,0
464,7,9,9,1
285,2,6,2,0
273,4,6,8,1
897,8,25,2,1
401,4,20,7,1
268,5,5,6,1
287,2,4,0,0
103,2,2,2,0
474,8,23,6,1
101,0,1,6,0
652,3,26,1,1
292,1,3,1,0
371,2,9,5,1
127,2,0,4,0
23,0,1,6,0
190,9,18,8,1
119,9,9,10,1
793,3,20,3,1
228,1,0,0,0
69,4,1,3,0
614,4,28,0,1
628,2,15,4,1
32,0,2,1,0
287,1,8,2,0
172,3,1,1,0
164,2,3,1,0
730,3,17,10,1
32,0,4,2,0
612,10,20,4,1
121,10,23,7,1
665,7,29,10,1
80,2,0,2,0
367,2,2,1,0
749,2,0,4,1
298,2,2,3,0
139,0,3,1,0
599,7,9,9,1
66,1,3,2,0
72,7,7,1,1
66,1,1,1,0
182,4,17,0,1
80,3,1,0,0
158,0,0,5,0
253,2,6,2,0
750,8,5,10,1
45,2,1,5,0
918,6,1,5,1
444,8,0,6,1
209,1,2,0,0
935,8,12,5,1
880,1,17,7,1
701,4,7,7,1
615,2,14,4,1
169,0,2,3,0
832,4,16,1,1
259,3,15,6,1
231,3,9,9,1
761,3,8,4,1
142,9,24,10,1
293,1,2,1,0
30,0,0,2,0
158,3,0,1,0
199,7,5,4,1
646,4,5,7,1
448,2,10,4,0
240,1,1,1,0
195,5,6,1,1
640,5,4,5,1
180,1,2,0,0
335,2,1,1,0
352,2,0,5,0
975,5,27,5,1
73,5,0,3,1
284,9,26,0,1
957,3,19,8,1
256,0,1,1,0
171,0,1,0,0
89,4,26,4,1
164,1,3,1,0
212,9,6,8,1
132,3,8,5,1
226,0,0,4,0
29,1,3,2,0
156,4,4,0,1
862,3,2,4,1
658,3,16,10,1
257,2,1,0,0
65,2,2,2,0
983,2,11,0,1
69,0,2,2,0
560,3,22,9,1
816,2,1,2,1
106,7,11,1,1
589,8,20,6,1
438,2,3,2,0
209,0,2,1,0
53,2,2,2,0
297,4,21,7,1
768,9,4,2,1
737,2,4,7,1
144,8,27,10,1
253,2,0,1,0
713,2,3,2,1
61,2,2,3,0
727,2,1,10,1
540,6,8,8,1
116,2,5,0,0
457,2,1,2,0
202,1,1,2,0
126,0,0,1,0
200,3,2,0,0
316,3,3,5,1
82,5,30,8,1
101,2,3,1,0
668,9,1,5,1
303,4,0,1,0
65,1,5,2,0
50,4,1,1,0
454,4,15,2,1
200,0,0,2,0
75,3,7,6,1
475,1,16,4,1
178,8,22,10,1
33,1,3,1,0
259,0,3,1,0
261,6,5,5,1
117,2,24,5,1
521,7,25,2,1
859,1,28,5,1
178,2,5,3,1
41,2,0,2,0
359,2,1,0,0
195,9,0,8,1
59,2,0,0,0
906,2,2,2,1
906,7,6,1,1
325,2,3,0,0
180,2,5,8,1
143,4,21,2,1
250,4,19,5,1
295,3,1,2,0
123,2,2,0,0
614,9,19,7,1
146,3,11,4,1
35,0,1,0,0
469,0,10,3,1
331,2,2,4,0
37,0,2,1,0
31,2,2,0,0
993,3,29,3,1
144,1,4,0,0
718,6,8,4,1
204,1,0,6,0
552,0,13,4,1
495,10,30,10,1
375,5,24,1,1
463,1,3,1,0
132,2,2,0,0
217,0,1,1,0
982,4,15,5,1
314,7,24,2,1
231,0,4,2,0
211,1,0,2,0
317,2,0,2,0
442,4,2,10,1
325,9,11,5,1
74,1,0,2,0
863,10,0,7,1
404,5,10,1,1
482,2,0,2,0
641,1,8,7,1
220,2,0,1,0
432,9,29,10,1
205,5,16,7,1
149,1,0,1,0
56,9,3,3,1
163,3,1,4,0
825,3,22,10,1
351,4,27,2,1
459,2,0,1,0
314,5,15,7,1
270,2,2,2,0
122,8,12,8,1
937,4,8,4,1
219,2,7,1,0
131,7,20,10,1
486,9,27,3,1
184,1,2,0,0
356,10,17,4,1
233,5,1,2,0
244,1,0,0,0
272,0,1,2,0
240,1,1,1,0
209,3,0,0,0
723,2,3,5,1
897,4,8,3,1
124,9,7,6,1
832,6,25,1,1
283,3,3,0,0
895,4,22,2,1
77,2,5,3,1
129,1,8,2,0
151,0,0,2,0
27,0,2,0,0
107,10,11,1,1
35,2,6,4,0
264,7,3,9,1
731,0,21,3,1
156,3,11,6,1
109,2,5,2,1
244,2,2,2,0
415,6,29,6,1
723,7,13,10,1
571,10,16,4,1
104,1,3,1,0
118,2,1,0,0
359,9,2,6,1
681,7,22,1,1
205,7,13,7,1
137,2,30,10,1
226,1,10,1,0
514,9,7,7,1
67,1,3,1,0
489,5,28,0,1
163,0,3,4,0
129,1,3,4,0
121,0,0,2,0
177,1,1,2,0
243,2,0,0,0
393,0,2,5,0
514,2,11,3,1
97,2,2,2,0
754,9,24,4,1
371,4,7,6,1
326,8,11,4,1
130,7,2,6,1
56,0,8,1,0
951,8,8,6,1
153,5,13,3,1
162,4,1,4,0
243,2,0,1,0
613,6,5,9,1
117,2,3,4,0
273,1,1,2,0
405,1,1,2,0
614,0,0,3,1
723,8,30,6,1
453,3,1,0,0
198,0,2,2,0
154,4,28,7,1
493,3,0,2,0
355,1,15,5,1
211,1,2,2,0
305,2,6,10,1
530,10,21,7,1
128,2,8,3,1
208,2,1,0,0
232,1,2,1,0
121,1,3,6,0
283,4,26,6,1
113,2,1,1,0
160,1,1,2,0
37,0,2,0,0
837,7,26,3,1
849,2,8,1,1
67,2,0,0,0
528,7,5,8,1
93,1,5,2,0
331,3,8,10,1
257,0,2,2,0
655,1,28,3,1
203,7,28,3,1
226,2,0,1,0
185,1,0,7,1
217,1,22,4,1
458,6,5,6,1
957,1,10,3,1
167,3,29,3,1
73,3,1,0,0
139,5,11,5,1
824,2,4,3,1
449,5,26,4,1
456,7,24,9,1
209,2,0,1,0
106,7,8,3,1
933,6,14,9,1
205,1,8,0,0
293,2,0,1,0
129,2,21,7,1
127,2,30,4,1
265,0,4,3,0
240,5,19,9,1
948,8,2,8,1
672,5,23,4,1
39,0,0,2,0
89,4,29,3,1
138,2,3,7,1
28,0,1,0,0
530,10,11,9,1
395,0,0,3,0
45,2,0,1,0
644,8,15,4,1
559,4,19,4,1
299,1,2,0,0
34,2,1,0,0
391,4,22,4,1
97,2,3,0,0
811,10,10,8,1
879,8,19,6,1
58,9,6,4,1
266,1,3,2,0
731,10,3,0,1
103,3,23,4,1
184,6,13,3,1
174,0,3,6,0
288,10,21,3,1
85,4,16,10,1
110,3,0,2,0
164,2,0,0,0
936,3,29,4,1
364,10,11,1,1
422,5,1,0,0
60,1,7,3,0
353,2,4,2,0
271,2,2,0,0
258,0,3,2,0
107,2,2,6,0
147,0,0,1,0
109,2,1,2,0
471,2,9,6,1
863,7,17,5,1
188,1,0,2,0
887,10,16,3,1
730,0,19,8,1
277,1,2,4,0
597,7,16,3,1
699,3,5,3,1
53,0,2,4,0
745,10,18,6,1
51,1,1,0,0
632,5,29,5,1
101,8,29,7,1
578,9,21,10,1
134,2,16,2,1
195,2,0,1,0
72,2,3,2,0
558,3,5,0,1
262,5,6,0,1
195,10,25,3,1
218,2,2,1,0
782,1,14,5,1
104,2,3,0,0
205,0,2,1,0
114,10,28,9,1
364,3,23,6,1
381,5,3,2,0
217,3,18,9,1
124,1,9,0,0
366,2,1,1,0
231,2,0,2,0
270,0,1,1,0
404,1,2,6,0
124,9,7,5,1
211,5,3,1,0
702,2,4,7,1
406,6,13,1,1
665,9,15,8,1
138,2,11,3,1
420,3,20,1,1
823,4,7,10,1
878,5,4,5,1
160,1,2,2,0
620,6,8,0,1
286,0,9,1,0
173,2,1,1,0
77,3,3,2,0
506,10,9,10,1
72,9,25,3,1
501,7,7,5,1
340,1,3,6,0
200,1,5,1,0
154,5,0,2,0
225,4,10,2,0
615,7,7,7,1
429,4,21,9,1
79,1,0,2,0
309,2,26,7,1
35,2,0,2,0
178,1,2,2,0
68,0,0,2,0
888,8,5,6,1
369,0,3,2,0
281,2,7,2,0
206,0,2,0,0
204,2,0,2,0
451,2,19,3,1
71,2,0,2,0
157,2,2,8,1
190,4,5,3,1
784,4,27,3,1
469,4,3,5,1
259,2,0,2,0
815,2,13,7,1
768,5,18,3,1
777,3,28,3,1
269,1,8,0,0
282,1,1,0,0
543,10,9,8,1
290,4,0,0,0
98,5,14,5,1
85,0,2,1,0
39,0,3,1,0
250,3,7,0,0
229,1,3,2,0
231,8,6,7,1
282,0,5,6,0
163,2,0,0,0
187,0,2,0,0
226,1,2,2,0
118,7,24,7,1
553,1,6,3,1
558,6,24,5,1
438,1,1,1,0
133,1,5,0,0
162,5,23,8,1
735,7,16,2,1
992,2,7,1,1
42,2,1,0,0
519,6,5,10,1
44,0,0,2,0
375,3,23,9,1
594,6,19,3,1
20,1,1,2,0
164,1,2,5,0
236,0,1,3,0
174,0,4,2,0
82,3,26,9,1
289,2,3,0,0
59,1,0,1,0
341,3,11,8,1
603,10,11,3,1
259,8,21,9,1
349,3,6,10,1
160,9,20,0,1
108,4,16,9,1
785,5,17,4,1
255,4,1,4,0
368,2,16,2,1
230,0,3,2,0
538,3,20,5,1
255,1,2,0,0
97,1,2,0,0
255,10,7,10,1
224,2,3,2,0
997,4,30,3,1
382,4,1,6,0
839,1,27,10,1
601,2,25,5,1
132,6,14,7,1
205,1,1,1,0
519,6,8,6,1
149,2,8,0,0
678,9,14,8,1
207,0,3,1,0
234,1,0,5,0
244,2,0,6,0
164,9,25,6,1
140,10,18,9,1
661,4,21,4,1
269,0,7,0,0
371,3,8,6,0
178,0,1,0,0
143,4,5,4,1
574,4,27,8,1
962,10,8,3,1
405,0,5,2,1
158,9,25,9,1
137,4,3,0,0
297,2,13,7,1
243,2,1,2,0
173,10,22,8,1
145,3,26,3,1
186,6,12,4,1
324,8,19,10,1
266,0,0,3,0
734,5,20,5,1
163,3,5,9,1
136,4,1,2,0
218,1,3,2,0
849,1,10,0,1
239,0,4,2,0
242,0,0,2,0
364,10,24,8,1
476,2,1,9,1
190,3,3,2,0
816,0,20,7,1
138,9,5,9,1
819,9,15,4,1
468,7,20,0,1
98,2,2,0,0
656,6,27,3,1
765,1,26,10,1
237,2,3,6,0
138,0,3,2,0
716,4,9,8,1
141,2,2,1,0
421,2,3,0,0
181,7,30,6,1
130,0,1,2,0
237,0,7,2,0
168,4,6,0,1
83,8,14,8,1
435,0,1,2,0
37,2,2,2,0
461,1,2,0,0
873,0,17,8,1
105,1,2,0,0
860,6,26,8,1
650,6,17,9,1
254,1,2,2,0
226,0,3,0,0
261,2,0,2,0
298,2,6,1,0
76,3,5,9,1
138,5,14,0,1
96,2,3,2,0
155,2,25,8,1
159,0,0,0,0
260,2,7,1,0
193,1,3,1,0
222,2,0,5,0
439,3,27,9,1
354,5,6,4,1
718,2,4,8,1
116,3,30,3,1
119,1,11,5,1
88,4,0,1,0
62,7,21,7,1
683,7,30,4,1
487,2,0,0,0
483,0,2,6,0
257,2,2,2,0
893,9,6,10,1
92,3,17,5,1
210,2,1,0,0
195,5,23,2,1
732,2,13,3,1
454,0,0,0,0
487,5,6,3,1
178,0,9,6,0
269,1,3,3,0
368,1,13,4,1
129,9,5,3,1
278,2,0,0,0
289,0,0,0,0
951,6,21,10,1
84,2,2,2,0
357,9,16,1,1
217,2,30,7,1
679,7,14,7,1
903,5,5,3,1
888,2,8,5,1
865,5,7,3,1
170,0,2,1,0
865,10,5,6,1
409,0,3,3,0
642,5,6,6,1
596,1,5,0,1
647,7,22,9,1
35,1,0,2,0
52,0,2,2,0
115,1,2,0,0
224,0,3,2,0
273,2,0,0,0
195,2,3,0,0
884,4,5,8,1
431,4,5,5,1
944,3,23,7,1
202,2,0,0,0
188,0,1,0,0
127,4,3,1,0
798,5,12,7,1
136,0,6,2,0
140,5,5,8,1
262,1,0,0,0
21,2,1,1,0
21,0,2,4,0
80,10,25,7,1
528,4,17,7,1
714,4,20,9,1
73,0,3,1,0
979,8,28,5,1
35,0,1,1,0
179,0,2,0,0
136,9,10,3,1
868,7,3,9,1
48,0,1,5,0
219,0,2,1,0
192,9,5,10,1
714,2,16,9,1
212,0,3,3,0
114,0,0,0,0
959,9,28,10,1
186,2,1,1,0
347,0,3,1,0
280,2,2,2,0
498,8,17,10,1
510,2,30,7,1
165,1,3,2,0
288,2,2,2,0
840,7,24,5,1
266,0,0,0,0
82,0,24,6,1
277,2,1,2,0
458,9,16,5,1
249,5,2,2,0
301,10,3,6,1
374,3,17,3,1
164,10,16,8,1
133,1,2,2,0
696,6,7,4,1
42,1,2,2,0
314,2,8,0,0
189,2,3,1,0
55,2,0,1,0
130,0,4,2,0
236,2,1,2,0
458,2,2,2,0
39,1,0,0,0
275,2,0,2,0
496,4,4,0,1
212,3,7,0,0
290,0,3,6,0
898,10,25,3,1
644,2,23,6,1
135,0,3,0,1
955,6,10,8,1
579,3,7,10,1
401,0,1,0,0
148,2,15,3,1
218,2,3,1,0
958,7,26,7,1
177,2,13,8,1
816,9,12,5,1
130,2,11,3,1
73,2,4,1,0
291,1,1,2,0
78,1,1,2,0
120,0,17,6,1
350,6,3,5,1
952,8,27,5,1
835,5,18,10,1
147,2,21,5,1
71,2,8,2,0
165,1,2,0,0
130,1,1,0,0
640,2,29,7,1
916,6,22,7,1
58,4,3,2,0
463,8,7,8,1
263,0,3,2,0
288,3,6,1,0
816,0,28,10,1
169,8,25,9,1
100,2,0,2,0
28,1,2,2,0
237,1,0,1,0
288,1,2,5,0
832,1,5,3,1
212,5,2,0,0
855,2,15,3,1
288,5,1,2,0
569,7,10,5,1
240,0,2,1,0
63,2,17,0,1
630,6,22,4,1
167,2,0,2,0
468,0,0,0,0
68,2,2,0,0
402,2,3,2,0
180,8,30,9,1
234,2,5,1,0
868,7,5,7,1
159,1,2,1,0
21,0,2,1,0
633,8,19,7,1
182,1,0,0,0
893,2,12,9,1
85,0,3,1,0
80,3,13,6,1
87,0,3,1,0
28,4,0,0,0
184,9,28,7,1
29,4,3,5,0
83,1,2,1,0
221,1,2,0,0
154,2,3,5,0
327,0,3,0,0
276,4,3,1,0
92,1,7,0,0
356,10,3,9,1
307,7,7,3,1
338,0,0,0,0
222,2,0,2,0
137,4,2,0,0
228,1,1,5,0
184,3,2,2,0
910,7,24,4,1
219,1,2,2,0
799,7,28,5,1
178,0,0,1,0
100,0,2,6,0
456,5,13,2,1
194,3,19,3,1
383,8,0,0,1
858,6,1,4,1
218,1,2,2,0
820,10,5,9,1
54,1,6,0,0
762,2,25,2,1
231,0,1,2,0
125,2,6,0,0
609,6,5,2,1
174,1,2,2,0
593,5,3,10,1
238,2,2,5,0
216,1,0,1,0
210,0,0,1,0
119,5,23,1,1
110,6,10,8,1
248,10,3,3,1
770,9,0,7,1
89,5,15,9,1
414,5,2,7,1
204,1,2,0,0
632,0,24,4,1
443,0,3,1,0
142,0,0,2,0
663,8,21,6,1
26,0,6,3,0
341,2,19,8,1
889,3,16,8,1
176,3,12,3,1
728,2,22,3,1
922,6,7,10,1
481,10,22,6,1
385,3,25,8,1
420,2,20,5,1
304,10,12,5,1
65,7,15,6,1
112,2,5,0,0
295,1,2,5,0
213,2,3,3,0
217,1,1,2,0
193,7,18,1,1
850,6,4,3,1
117,2,0,2,0
420,2,0,1,0
935,5,28,6,1
183,4,2,3,0
106,1,3,0,0
738,7,22,8,1
239,2,7,2,0
363,2,0,0,0
203,2,2,0,0
217,7,23,7,1
269,4,1,2,0
28,1,2,0,0
96,0,3,1,0
177,0,3,4,0
682,3,13,10,1
192,1,3,0,0
444,7,15,7,1
233,3,26,5,1
652,8,3,6,1
376,0,7,5,1
290,3,2,2,0
150,5,3,2,0
239,1,0,2,0
776,3,30,3,1
245,0,0,0,0
134,2,3,2,0
62,1,5,1,0
92,4,5,2,0
190,3,26,2,1
510,2,27,3,1
468,9,12,7,1
632,4,24,4,1
460,4,0,1,0
126,1,2,1,0
577,6,1,5,1
549,3,22,5,1
142,5,4,2,1
431,6,20,10,1
568,4,17,10,1
211,1,2,0,0
924,8,15,10,1
125,0,0,0,0
419,2,10,3,1
270,1,3,0,0
758,7,28,0,1
736,3,3,9,1
267,1,4,1,0
169,0,0,2,0
122,2,3,2,0
270,0,4,5,0
241,0,0,3,0
199,2,0,4,1
162,2,3,5,0
323,9,20,7,1
107,2,2,1,0
171,1,0,5,1
212,4,3,0,0
54,7,14,4,1
283,2,3,1,0
140,2,20,3,1
183,5,23,0,1
193,1,1,1,0
586,10,29,2,1
103,0,1,0,0
61,1,2,2,0
744,7,17,0,1
247,5,2,1,0
90,2,1,1,0
612,0,22,3,1
142,8,16,1,1
753,1,5,3,1
249,1,3,1,0
277,2,0,5,0
281,1,1,2,0
541,7,1,3,1
256,6,7,2,1
268,0,0,0,0
35,2,2,5,0
226,5,8,2,0
789,10,8,9,1
62,1,1,0,0
72,2,1,2,0
107,2,3,2,0
115,2,6,0,1
328,2,23,3,1
440,4,4,2,0
62,2,2,0,0
286,2,1,2,0
148,2,9,5,1
87,10,9,8,1
735,10,29,1,1
739,2,23,10,1
78,6,21,3,1
590,2,30,8,1
207,2,9,2,0
81,10,24,4,1
55,2,3,2,0
80,0,30,2,1
336,4,2,0,0
966,10,20,10,1
695,3,25,10,1
79,4,25,6,1
276,1,7,2,0
167,2,0,1,0
74,1,1,1,0
229,1,0,6,0
102,2,5,10,1
120,3,20,4,1
84,4,2,2,0
163,0,0,2,0
283,2,0,1,0
169,2,0,2,0
260,1,1,0,0
115,1,3,1,0
569,10,30,8,1
179,4,13,10,1
885,1,25,4,1
666,3,20,4,1
343,5,5,0,0
414,3,26,10,1
79,0,2,0,0
153,4,1,1,0
543,5,2,5,1
383,4,15,5,1
148,0,0,2,0
934,7,11,4,1
39,0,4,0,0
49,1,2,1,0
149,1,0,1,0
291,1,3,1,0
208,2,1,1,0
155,2,1,3,0
228,1,3,2,0
161,5,27,6,1
212,10,6,3,1
352,0,3,0,0
792,3,28,9,1
257,2,0,1,0
109,1,2,2,0
56,3,1,5,1
672,10,7,10,1
238,2,2,1,0
608,4,29,2,1
879,0,5,3,1
20,2,3,0,0
828,4,17,1,1
152,5,0,1,0
112,2,2,0,0
156,2,4,8,1
284,1,3,2,0
531,0,6,3,1
92,1,3,1,0
139,8,2,0,1
808,6,14,3,1
848,8,0,3,1
68,8,2,8,1
459,2,7,8,1
358,0,21,6,1
237,8,10,3,1
135,3,17,9,1
816,7,20,10,1
86,2,3,1,0
776,7,28,7,1
38,2,0,6,0
275,2,26,7,1
65,3,2,7,1
239,2,2,2,0
140,1,2,2,0
170,2,2,2,0
375,1,6,1,0
106,8,3,6,1
179,4,1,2,0
748,10,17,1,1
885,3,14,5,1
159,2,1,2,0
581,0,13,6,1
246,0,1,2,0
182,1,1,1,0
